Date,Fuel_Used_Liters,Coal_Mined_Tonnes
2025-08-01,30007.0,70079.0
2025-08-02,27817.0,82928.0
2025-08-03,27109.0,71388.0
2025-08-04,24582.0,70344.0
2025-08-05,24540.0,71553.0
2025-08-06,25689.0,61783.0
2025-08-07,25217.0,55202.0
2025-08-08,17425.0,62660.0
2025-08-09,31964.0,45094.0
2025-08-10,26343.0,60873.0
2025-08-11,28444.0,59543.0
2025-08-12,34350.0,49258.0
2025-08-13,31828.0,51002.0
2025-08-14,29006.0,49045.0
2025-08-15,32389.0,38387.0
2025-08-16,31200.0,40200.0
2025-08-17,30500.0,41500.0
2025-08-18,29800.0,43000.0
2025-08-19,32081.0,37938.0
2025-08-20,31050.0,39000.0
2025-08-21,30800.0,40500.0
2025-08-22,29900.0,41800.0
2025-08-23,28900.0,43500.0
2025-08-24,27900.0,45000.0
2025-08-25,27000.0,46500.0
2025-08-26,26500.0,47800.0
2025-08-27,26000.0,49000.0
2025-08-28,25500.0,50200.0
2025-08-29,25000.0,51500.0
2025-08-30,24500.0,53000.0
